"","ScreenName","Location"
"2","gibth","Venezuela"
"3","Samanthaloomis_","Lawrence, KS"
"4","Greeneyes716","Chicago IL"
"5","LoststarsLisa","Kenton Ohio"
"6","jburcum","Minneapolis"
"7","CoMo_HealthDept","Columbia, Missouri"
"8","XlearInc","American Fork, Utah"
"10","harrisshana24","Nashville AR"
"11","tfreud","New Jersey, USA"
"12","Msu_Fever","Kisumu City"
"13","beckahasley","Wichita Falls, TX"
"14","Amanndda__","Louisiana"
"15","mestery","Woodbury, MN"
"16","forbidenfruit41","Georgia, USA"
"18","kbhaduri69","Kansas, USA"
"19","KARLEYPARRIE","waiting on may 2019"
"20","sambucolusa","USA"
"21","StarTribune","Minneapolis, MN "
"22","ohyeaChris","Louisiana, USA"
"23","dr_pegarcia","Santiago, Chile"
"24","KARK4News","Little Rock, AR"
"25","Darling_Nina","Denver, CO"
"27","FOX16News","Central Arkansas"
"31","TrueJackDaniel","OKC"
"32","ArdilloTony","Louisiana, USA"
"34","JoshFlynn","Indiana"
"35","Whose_yo_pappy","Don't fucking worry about it "
"36","JustinSkiles","Bellevue, NE"
"37","willowfrantn","Franklin, TN near Nashville"
"39","AngelaKorras"," Australia"
"40","crazy4som","Having a Gin & Laughing .."
"41","FeverHoops","Fort Collins, CO"
"42","queenwhompy","Tennessee, USA"
"43","uhmmshante","Denver, CO"
"44","alwaysapayne","Louisiana, USA"
"45","The_News_Record","Gillette, Wyoming"
"47","came_forget","Anaheim, CA"
"48","PaulReveal1","Rotterdam, NY"
"49","texaslady10","Texas"
"50","JosephMcgrawjoe","PA"
"51","Hotrod603","Chickamauga, GA"
"53","Allisonarlene","sioux falls SD "
"54","proudmana3","Hernando, FL"
"59","BreazBeach","south Florida"
"60","luellen_terry","Missouri, USA"
"61","TanaShefani","New Zealand"
"62","Tristan1george","Kampala, Uganda"
"63","NeileJones","Arkansas/Oklahoma"
"67","__BlakeShelton_","Tishomingo, OK"
"68","ricet2568","Haughton, LA"
"69","AshleyKetz","Little Rock, AR"
"71","jordantipton_","bandon, or"
"72","hellosarahi97","United States"
"74","KristaNamio","Federated States of Micronesia"
"75","nwavolkswagen","Rogers, AR"
"76","blueadventrmama","Fort Collins, CO"
"77","FranciscoMarty_","Boston, MA"
"78","BatBomb","Whitehorse, YT"
"79","droncall24x7","United States"
"80","brea5620","New Sharon, IA"
"81","chembomusic","Lusaka, Zambia"
"82","microBIOblog","Spain"
"83","lizditz","San Mateo County, California"
"84","MyPureLifeDrT","Atlanta, GA"
"86","CofHEQ","Washington DC USA "
"87","GlobalPHObserv","Baltimore MD USA"
"88","Todd_Bixby","San Diego | DC | Palm Beach"
"89","JustKath_","Kielce, Poland"
"90","Casillic","Gainesville, Fl"
"91","AbbieStutzer","Lawrence, KS"
"92","CIDRAP","Minneapolis, MN"
"94","NolanAnderson2","Canal Winchester, OH"
"95","im_ad0rkable","Los Angeles, CA"
"96","victoriapricetv","little rock"
"97","BonniHuntsinger","Nashville"
"98","maryrobertsss","Coronado, CA"
"99","antelope_lauren","Wyoming, USA"
"100","ChrisOfficiall1","Germany"
"102","JonathanRozelle","Little Rock, AR"
"103","JasonRoof1","United States"
"104","2cents4change","America"
"105","ebongreen","Minneapolis, MN USA"
"106","omahareggaevibe","Omaha Nebraska"
"108","GregYarbrough","Little Rock, AR"
"109","Greenbacksgal","Colorado Springs, CO"
"110","kathywatson31","Springboro PA"
"112","AlmaKomi","Chicago, IL"
"113","maizeyrae","Ohio, USA"
"114","Rebecca62186022","Renfrew, Ontario"
"116","batman_2432","Mission, TX"
"117","karenberan","Middle America"
"119","scottmbrewster","Fayetteville, AR"
"121","Youneve25442586"," Earth"
"124","manzanares_ron","United States"
"125","KeytonBluhm","Watertown, MN"
"127","KARKMark","Little Rock"
"129","Babe4U69ways","Funville, <U+2764><U+FE0F><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>USA<ed><U+00A0><U+00BC><ed><U+00BC><U+008B>"
"130","csnyder887","Chicago, IL"
"131","Theresa61758149","St Albans, WV"
"132","marglois13","Eagle Mountain, TX"
"133","Alwayzjosiee","Minneapolis"
"134","Pattymamaw",", USA"
"136","DJBrianBacchus","St. Louis, MO, USA"
"137","Lexi_R217","Louisiana, USA"
"138","a_soldier88","Corpus Christi, TX"
"139","libbyronquille","Lafitte, Louisiana, USA"
"140","JustinDuck4","East Lake, FL"
"141","tracydete","Minnesota, USA"
"142","BBnewsroom","Mountain Home, Ark."
"143","Rdc8683","Pennsylvania, USA"
"144","tamz2105","England"
"145","rtwosweetooth","Just a girl in the world, Cali"
"146","U2Nurse","Minnetonka, Minnesota"
"147","CountryrocksKay","England"
"148","AmyJoA33","Pittsburgh, PA"
