"","lon","lat"
"1",-66.58973,6.42375
"2",-95.2352501,38.9716689
"3",-87.6297982,41.8781136
"4",-83.6096516,40.6469982
"5",-93.2650108,44.977753
"6",-92.3340724,38.9517053
"7",-111.7957645,40.3768954
"8",-93.847129,33.9456692
"9",-74.4056612,40.0583238
"11",-98.4933873,33.9137085
"12",-91.9623327,30.9842977
"13",-92.9593797,44.9238552
"14",-82.9000751,32.1656221
"15",-98.4842465,39.011902
"18",-93.2650108,44.977753
"20",-70.6692655,-33.4488897
"21",-92.2895948,34.7464809
"22",-104.990251,39.7392358
"23",-92.4579383,35.0780913
"24",-97.5154804,35.4689984
"26",-86.1349019,40.2671941
"28",-95.9145568,41.1543623
"29",-86.7384749,36.1844178
"30",133.775136,-25.274398
"33",-86.5804473,35.5174913
"34",-104.990251,39.7392358
"35",-91.9623327,30.9842977
"36",-105.5022205,44.2910915
"38",-73.9709583,42.7870209
"39",-99.9018131,31.9685988
"43",-82.3745401,28.8999815
"44",-81.5157535,27.6648274
"45",-91.8318334,37.9642529
"47",32.5825197,0.3475964
"49",-96.6786131,34.2362054
"52",-124.408448,43.1189978
"55",-94.1185366,36.3320196
"56",-105.084423,40.5852602
"57",-71.0588801,42.3600825
"58",-135.0568448,60.7211871
"59",-95.712891,37.09024
"61",28.3228165,-15.3875259
"62",-3.74922,40.463667
"64",-84.3879824,33.7489954
"65",-77.0368707,38.9071923
"66",-76.6121893,39.2903848
"67",-117.2536491,32.8895561
"68",20.6285676,50.8660773
"71",-93.2650108,44.977753
"72",-82.8123646,39.8466556
"73",-118.2436849,34.0522342
"74",-92.2895948,34.7464809
"75",-86.7816016,36.1626638
"76",-117.1830891,32.6858853
"79",-92.2895948,34.7464809
"80",-95.712891,37.09024
"82",-93.2650108,44.977753
"84",-92.2895948,34.7464809
"85",-104.8213634,38.8338816
"86",-80.3689538,41.800611
"88",-82.907123,40.4172871
"89",-76.6877186,45.4749199
"90",-98.3252932,26.2159066
"91",-91.5705695,33.057837
"92",-94.1718542,36.082156
