,x
1,illinois
2,indiana
3,vermont
4,california
5,illinois
6,NA
7,maryland
8,NA
9,NA
10,florida
11,NA
12,NA
13,NA
14,texas
15,NA
16,california
17,minnesota
18,maryland
19,florida
20,maryland
21,NA
22,massachusetts
23,NA
24,NA
25,texas
26,florida
27,new york
28,ohio
29,maryland
30,kansas
31,NA
32,new york
33,NA
34,NA
35,ohio
36,NA
37,NA
38,ohio
39,NA
40,new york
41,illinois
42,NA
43,NA
44,kansas
45,new jersey
46,kansas
47,georgia
48,NA
49,wisconsin
50,florida
51,maryland
52,texas
53,new york
54,massachusetts
55,illinois
56,district of columbia
57,california
58,new jersey
59,minnesota
60,NA
61,NA
62,district of columbia
63,georgia
64,NA
65,wisconsin
66,kansas
67,georgia
68,NA
69,colorado
70,new york
71,ohio
72,illinois
73,california
74,connecticut
75,alabama
76,georgia
77,illinois
78,connecticut
79,new york
80,texas
81,massachusetts
82,massachusetts
83,texas
84,district of columbia
85,new jersey
86,wisconsin
87,rhode island
88,iowa
89,georgia
90,kansas
91,NA
92,california
93,pennsylvania
94,district of columbia
95,california
96,kansas
97,NA
98,illinois
99,NA
100,virginia
101,north carolina
102,new york
103,kansas
104,illinois
105,georgia
106,california
107,NA
108,NA
109,illinois
110,NA
111,maine
112,north carolina
113,california
114,california
115,illinois
116,california
117,district of columbia
118,new york
119,NA
120,ohio
121,new mexico
122,kansas
123,alabama
124,new york
125,new york
126,NA
127,wisconsin
128,arizona
129,NA
130,kansas
131,NA
132,NA
133,minnesota
134,new york
135,california
136,georgia
137,missouri
138,florida
139,alabama
140,new york
141,illinois
142,florida
143,new york
144,texas
145,minnesota
146,district of columbia
147,virginia
148,minnesota
149,NA
150,california
151,north carolina
152,wisconsin
153,oklahoma
154,kansas
155,ohio
156,NA
157,utah
158,rhode island
159,NA
160,maryland
161,NA
162,illinois
163,wisconsin
164,north dakota
165,NA
166,new york
167,illinois
168,new york
169,florida
170,pennsylvania
171,massachusetts
172,oklahoma
173,wisconsin
174,pennsylvania
175,NA
176,NA
177,maryland
178,south carolina
179,kansas
180,tennessee
181,NA
182,NA
183,kansas
184,NA
185,NA
186,NA
187,california
188,washington
189,california
190,indiana
191,kentucky
192,kansas
193,massachusetts
194,pennsylvania
195,missouri
196,kentucky
197,district of columbia
198,washington
199,california
200,connecticut
201,kentucky
202,new york
203,florida
204,iowa
205,massachusetts
206,wisconsin
207,NA
208,NA
209,wisconsin
210,virginia
211,NA
212,georgia
213,maryland
214,oregon
215,nebraska
216,illinois
217,NA
218,NA
219,ohio
220,NA
221,NA
222,delaware
223,NA
224,illinois
225,north carolina
226,tennessee
227,wisconsin
228,new mexico
229,florida
230,NA
231,NA
232,rhode island
233,wisconsin
234,NA
235,missouri
236,NA
237,south carolina
238,illinois
239,california
240,kansas
241,nevada
242,tennessee
243,minnesota
244,illinois
245,maryland
246,florida
247,NA
248,california
249,indiana
250,colorado
251,nebraska
252,nebraska
253,NA
254,tennessee
255,NA
256,new york
257,connecticut
258,kansas
259,colorado
260,ohio
261,texas
262,NA
263,ohio
264,kansas
265,illinois
266,new york
267,california
268,wisconsin
269,NA
270,new jersey
271,NA
272,NA
273,new york
274,georgia
275,new york
276,new jersey
277,pennsylvania
278,texas
279,wisconsin
280,kentucky
281,illinois
282,tennessee
283,texas
284,illinois
285,new york
286,NA
287,florida
288,connecticut
289,florida
290,pennsylvania
291,pennsylvania
292,NA
293,texas
294,iowa
295,NA
296,connecticut
297,california
298,NA
299,virginia
300,NA
301,virginia
302,michigan
303,new york
304,massachusetts
305,illinois
306,texas
307,NA
308,illinois
309,NA
310,california
311,connecticut
312,illinois
313,virginia
314,new hampshire
315,maryland
316,texas
317,minnesota
318,kansas
319,NA
320,NA
321,NA
322,west virginia
323,new york
324,tennessee
325,NA
326,maryland
327,florida
328,oklahoma
329,oklahoma
330,pennsylvania
331,georgia
332,florida
333,south carolina
334,NA
335,massachusetts
336,district of columbia
337,pennsylvania
338,district of columbia
339,alabama
340,missouri
341,new york
342,illinois
343,NA
344,california
345,alabama
346,NA
347,kansas
348,district of columbia
349,NA
350,district of columbia
351,new jersey
352,NA
