,lon,lat
1,-87.6260659,41.8926952
2,-86.158068,39.768403
4,-72.5382209,42.9289731
5,-119.4179324,36.778261
7,-88.1535352,41.7508391
8,-106.346771,56.130366
9,-76.6412712,39.0457549
10,0.3230151,51.4784037
11,-0.1601246,52.9451889
12,-81.3792365,28.5383355
13,-0.1277583,51.5073509
14,-74.0059728,40.7127753
15,-79.3831843,43.653226
16,-97.2691812,32.6720777
17,-116.5765035,53.9332706
18,-122.4194155,37.7749295
19,-94.6858998,46.729553
20,-77.0074765,38.9778882
21,-81.5157535,27.6648274
22,-76.6121893,39.2903848
23,-79.508276,43.8372079
24,-71.0588801,42.3600825
25,-122.801094,49.1044302
27,-66.4619164,46.5653163
28,-99.9018131,31.9685988
29,-82.7637127,28.0780718
30,-73.8648268,40.8447819
31,-83.555212,41.6639383
33,-76.6121893,39.2903848
34,-95.712891,37.09024
35,-81.264421,42.918807
36,-73.8648268,40.8447819
37,-106.346771,56.130366
38,-79.3831843,43.653226
39,-82.907123,40.4172871
40,-106.346771,56.130366
41,-79.6441198,43.5890452
42,-82.9976742,38.7317431
43,-74.0059728,40.7127753
44,-73.9441579,40.6781784
45,-89.3985283,40.6331249
46,-74.0059728,40.7127753
48,-74.0059728,40.7127753
50,-95.712891,37.09024
51,-73.9523597,40.8853773
52,-95.712891,37.09024
53,-84.3879824,33.7489954
54,-79.3831843,43.653226
55,-88.7878678,43.7844397
56,-81.5157535,27.6648274
57,-76.6121893,39.2903848
58,-95.2091006,29.6910625
60,-73.8490111,43.0009086
61,-71.0588801,42.3600825
62,-89.2167501,37.7272727
64,-77.0368707,38.9071923
65,-118.2436849,34.0522342
66,-74.4056612,40.0583238
67,-94.6858998,46.729553
68,-75.6971931,45.4215296
69,-63.744311,44.6819866
71,-77.0368707,38.9071923
72,-84.3879824,33.7489954
73,-79.7990319,43.3255196
74,-89.4012302,43.0730517
75,-95.712891,37.09024
76,-84.1446376,34.0028786
78,6.1431577,46.2043907
80,-104.990251,39.7392358
81,-77.6109219,43.16103
82,-84.1916069,39.7589478
85,-87.6297982,41.8781136
86,-118.2436849,34.0522342
87,-73.1951767,41.1865478
88,-86.5861037,34.7303688
89,-84.2012897,30.8774132
90,-89.3820321,38.0803286
91,-73.1951767,41.1865478
92,-73.9441579,40.6781784
93,-99.9018131,31.9685988
94,-71.0588801,42.3600825
95,-71.0688334,42.3631542
96,-99.9018131,31.9685988
97,-77.0368707,38.9071923
98,-74.4056612,40.0583238
100,-87.9064736,43.0389025
102,-71.5495101,41.9220496
105,-93.097702,41.8780025
106,-85.0979973,33.2776182
108,-95.712891,37.09024
109,-2.13125,49.214439
110,-122.4194155,37.7749295
111,-80.2213477,40.5169767
112,-77.0368707,38.9071923
113,-122.169719,37.4274745
114,-97.330053,37.6871761
116,-85.323214,51.253775
117,-89.3985283,40.6331249
118,-57.6604364,53.1355091
120,-77.4360481,37.5407246
126,-79.0192997,35.7595731
127,-73.9865533,40.7263542
128,-95.712891,37.09024
130,-87.6720944,42.0039015
131,-84.2171424,33.8545479
132,-119.4179324,36.778261
133,-82.4571776,27.950575
137,-79.8711024,43.2557206
138,-88.9946702,40.5122833
139,-73.975694,40.8270448
140,-70.8226541,43.9653889
141,-78.898619,35.9940329
142,-122.2711137,37.8043637
143,-117.946137,33.9318591
144,-88.0683955,41.6986416
145,-119.4179324,36.778261
146,-77.0368707,38.9071923
147,-73.9441579,40.6781784
148,-79.3831843,43.653226
149,-82.907123,40.4172871
151,-106.6055534,35.0853336
152,-95.712891,37.09024
153,-86.7522107,33.5009384
154,-73.7948516,40.7282239
155,-73.9441579,40.6781784
156,79.6368375,20.7938803
157,-89.4012302,43.0730517
158,-111.6547075,35.1851895
159,-82.4571776,27.950575
160,-95.712891,37.09024
161,-63.5752387,44.6487635
162,-74.0059728,40.7127753
163,-93.2650108,44.977753
164,-73.9441579,40.6781784
165,-119.4179324,36.778261
166,-84.3879824,33.7489954
167,-90.1994042,38.6270025
168,-81.655651,30.3321838
169,-86.0341463,34.6723069
170,-73.9441579,40.6781784
171,-88.4856042,38.6689364
172,-80.1289321,26.3683064
173,-73.1151117,40.7692649
175,-102.3676431,31.8456816
176,-93.2650108,44.977753
178,-77.0368707,38.9071923
179,-77.5105107,38.8065053
180,-92.4801989,44.0121221
181,-149.0729714,62.4113634
183,-119.4179324,36.778261
184,-78.6381787,35.7795897
187,-88.7878678,43.7844397
188,-97.5721341,35.4743537
189,-95.712891,37.09024
190,-81.7981908,41.4819932
191,-80.2481666,43.5448048
193,-111.880771,40.8893895
