"","x"
"1","kansas"
"2","illinois"
"3","ohio"
"4","minnesota"
"5","missouri"
"6","utah"
"7","arkansas"
"8","new jersey"
"9","texas"
"10","louisiana"
"11","minnesota"
"12","georgia"
"13","kansas"
"14","minnesota"
"15","arkansas"
"16","colorado"
"17","arkansas"
"18","oklahoma"
"19","indiana"
"20","nebraska"
"21","tennessee"
"22","tennessee"
"23","colorado"
"24","louisiana"
"25","wyoming"
"26","new york"
"27","texas"
"28","florida"
"29","florida"
"30","missouri"
"31","oklahoma"
"32","arkansas"
"33","colorado"
"34","massachusetts"
"35","kansas"
"36","georgia"
"37","district of columbia"
"38","maryland"
"39","minnesota"
"40","ohio"
"41","california"
"42","arkansas"
"43","tennessee"
"44","arkansas"
"45","kansas"
"46","minnesota"
"47","arkansas"
"48","colorado"
"49","pennsylvania"
"50","ohio"
"51","texas"
"52","arkansas"
"53","arkansas"
"54","kansas"
"55","minnesota"
"56","illinois"
"57","kansas"
"58","missouri"
"59","louisiana"
"60","louisiana"
"61","florida"
"62","arkansas"
"63","pennsylvania"
"64","minnesota"
"65","pennsylvania"
"66","tennessee"
"67","kansas"
"68","louisiana"
"69","texas"
"70","kansas"
"71","kansas"
"72","texas"
"73","missouri"
"74","louisiana"
"75","kansas"
"76","arkansas"
"77","texas"
"78","arizona"
"79","ohio"
"80","texas"
"81","colorado"
"82","california"
"83","south carolina"
"84","iowa"
"85","new york"
"86","nebraska"
"87","wisconsin"
"88","texas"
"89","kansas"
"90","kansas"
"91","virginia"
"92","louisiana"
"93","oklahoma"
"94","minnesota"
"95","oklahoma"
"96","iowa"
"97","california"
"98","kansas"
"99","kansas"
"100","kansas"
"101","kansas"
"102","kansas"
"103","kansas"
"104","kansas"
"105","kansas"
"106","kansas"
"107","kansas"
"108","kansas"
"109","kansas"
"110","missouri"
"111","indiana"
"112","oklahoma"
"113","iowa"
"114","kansas"
"115","missouri"
"116","kansas"
"117","utah"
"118","missouri"
"119","colorado"
"120","wisconsin"
"121","missouri"
"122","minnesota"
"123","kansas"
"124","louisiana"
"125","south dakota"
"126","minnesota"
"127","kansas"
"128","kansas"
"129","new york"
"130","iowa"
"131","kansas"
"132","wisconsin"
"133","kansas"
"134","kansas"
"135","arkansas"
"136","colorado"
"137","arizona"
"138","arizona"
"139","kansas"
"140","kansas"
"141","kansas"
"142","texas"
"143","minnesota"
"144","kansas"
"145","illinois"
"146","oklahoma"
"147","nebraska"
"148","illinois"
"149","california"
"150","illinois"
"151","wyoming"
"152","alabama"
"153","arizona"
"154","kansas"
"155","kansas"
"156","minnesota"
"157","arizona"
"158","kansas"
"159","kansas"
"160","minnesota"
"161","minnesota"
"162","wisconsin"
"163","utah"
"164","missouri"
"165","oklahoma"
"166","missouri"
"167","kansas"
"168","indiana"
"169","kansas"
"170","kansas"
"171","florida"
"172","iowa"
"173","colorado"
"174","arkansas"
"175","nebraska"
"176","colorado"
"177","wisconsin"
"178","new mexico"
"179","kansas"
"180","minnesota"
"181","nebraska"
"182","nebraska"
"183","nebraska"
"184","kansas"
"185","nebraska"
"186","colorado"
"187","kansas"
"188","minnesota"
"189","colorado"
"190","texas"
"191","florida"
"192","iowa"
